date,open,high,low,close,volume,log_return,ob_volume
2015-09-01,9.24983210783415,9.516243878005493,8.989509318151134,9.08617877960205,49749000,0.0,0
2015-09-02,9.297786737212519,9.443932441833475,9.146312085423178,9.441649436950684,36700000,0.038376249859597464,36700000
2015-09-03,9.545170787465624,9.659347181507222,9.378472932761934,9.421098709106445,29954000,-0.002178975811608971,6746000
2015-09-04,9.228519663954941,9.424142342205181,9.183610160560939,9.22166919708252,24923000,-0.021395655492196367,-18177000
2015-09-08,9.545170040417085,9.844312663016556,9.501022022074897,9.83137321472168,35477000,0.06402255863098494,17300000
2015-09-09,9.90901251098896,10.031562330628738,9.613675873538735,9.679898262023926,31502000,-0.015527229600123956,-14202000
2015-09-10,9.784183049208979,9.831376298939523,9.49950203093038,9.797883987426758,36224000,0.012115051600432969,22022000
2015-09-11,9.755258041396774,9.988178342783065,9.662394515182731,9.977521896362305,39606000,0.018168309800174073,61628000
2015-09-14,10.08560626068013,10.179231244231675,9.940982792194061,9.985892295837402,34643000,0.0008385739919055298,96271000
2015-09-15,10.0574418022583,10.272093613416223,9.971428780688012,10.228706359863281,30804000,0.024024789926752145,127075000
2015-09-16,10.223362995568166,10.223362995568166,9.946189201682902,10.040107727050781,27317000,-0.018610272439069698,99758000
2015-09-17,10.041636569642721,10.159988861041056,9.941609954064273,9.972915649414062,19918000,-0.006714860502901103,79840000
2015-09-18,9.814856015302324,9.887394830897618,9.666724348147207,9.742317199707031,44021000,-0.023393988615569218,35819000
2015-09-21,9.801877787352831,9.87899767669982,9.637711296937345,9.717122077941895,16515000,-0.0025895027584838825,19304000
2015-09-22,9.543793174033802,9.608696191083466,9.445293566675481,9.521650314331055,22483000,-0.020321305989808178,-3179000
2015-09-23,9.530811477909563,9.758353206054155,9.45369087049262,9.585787773132324,21879000,0.0067133751153795095,18700000
2015-09-24,9.475834846496582,9.5712804041417,9.120777255546054,9.475834846496582,44995000,-0.011536703705390304,-26295000
2015-09-25,9.617857767192467,9.84463636043374,9.559827433040354,9.67741584777832,35087000,0.02105005023956841,8792000
