date,open,high,low,close,volume
2015-09-01,35.297643449023006,36.187690363793216,35.00095824216384,35.25199890136719,13136100
2015-09-02,35.93662837217513,36.02030563354492,35.3052256141089,36.02030563354492,6012600
2015-09-03,36.263751610964526,36.53000704525247,35.96706938864692,36.104000091552734,5289100
2015-09-04,35.518242196574604,35.89860462151861,35.30524016722516,35.39652633666992,6603400
2015-09-08,36.233325440781165,37.09294243242744,36.1648600881608,37.03969192504883,7993000
2015-09-09,37.29073101057772,37.75477361491241,36.111608120409095,36.218109130859375,8250100
2015-09-10,36.02792427367702,36.48435795846105,35.67799158854696,36.06595993041992,8543100
2015-09-11,35.906204351139344,36.23331618544289,35.617128169256944,36.18767166137695,6567300
2015-09-14,36.415886679175856,36.5147816921336,36.172455033383024,36.385459899902344,4750800
2015-09-15,36.514783215805636,37.07772073390038,36.25613671861631,36.74300003051758,7104300
2015-09-16,36.765831067246786,37.100548935372515,36.362644948940655,37.047298431396484,4624500
2015-09-17,36.99404615982334,37.29833432487089,36.58325408997773,36.62889862060547,5693500
2015-09-18,36.32461615805233,37.00166089543202,35.83014378256124,36.36265182495117,17206500
2015-09-21,36.415900467757346,36.57565490362006,35.792106276476915,36.096397399902344,6105200
2015-09-22,35.51063652463249,35.74646227478472,35.20634542133511,35.4573860168457,6161600
2015-09-23,35.457383498554705,35.601920166291265,35.1987369497023,35.43456268310547,4335300
2015-09-24,35.122670488762,35.693214216534756,34.48366429951455,35.56389236450195,8535000
2015-09-25,35.76927773439534,36.17246091923153,35.60191736245522,35.883384704589844,8924200
2015-09-28,35.79210144046005,36.08878364964953,35.662779616735335,35.71603012084961,10728200
2015-09-29,35.87577829727818,36.21810500756352,35.594310958570034,36.15724563598633,7413600
2015-09-30,36.58325627523038,37.69391380277025,36.45393154836075,37.67109298706055,9120400
2015-10-01,37.914518279399815,37.93733909124831,36.43110456862613,36.84950256347656,10007400
2015-10-02,36.34743272032681,37.115766450589064,35.845354431039944,37.10055160522461,8229700
2015-10-05,37.37440709978358,38.34813383344154,37.2755120715419,38.1351318359375,6812500
2015-10-06,38.13513935953678,38.52310777466552,37.450485801150606,38.38617706298828,5737000
2015-10-07,38.79695907945018,39.25339273137585,38.27206008954224,38.827388763427734,7065300
2015-10-08,38.553522808135654,39.20774642586545,38.31009116925024,39.19253158569336,6431500
2015-10-09,39.06321423839521,39.37511126571918,38.523100369457175,38.69806671142578,5720100
2015-10-12,38.5915643032703,39.1164633100136,38.462242495119504,39.055606842041016,4075300
2015-10-13,38.78936356526822,39.11647259943018,38.65243285239336,38.7285041809082,7162000
2015-10-14,38.880637867237574,40.432516871312316,38.81977850146165,40.052154541015625,10558500
2015-10-15,40.280373333713555,40.39448029723655,39.793509991372844,39.884796142578125,7153400
2015-10-16,39.778300474926006,40.059767838288465,39.55768958653674,39.991302490234375,5685300
2015-10-19,39.983691567231666,40.26515889573526,39.74025989361756,40.04454803466797,5701700
2015-10-20,39.90001098476807,40.014117948291066,39.694614968105384,39.884796142578125,5666900
