date,open,high,low,close,volume,log_return,ob_volume
2015-09-01,31.16214282086085,31.35084610301465,30.78472971242251,30.887659072875977,19948700,0.0,0
2015-09-02,31.19645874529224,31.52240562438965,30.97344452616217,31.52240562438965,15049300,0.020341861273805883,15049300
2015-09-03,31.57386607450124,31.968431381365676,31.53955519423504,31.651063919067383,11787800,0.004073180513469906,26837100
2015-09-04,31.17928664696452,31.462346402573658,30.956272546961607,31.110668182373047,13147900,-0.017220974425088166,13689200
2015-09-08,31.50524117750908,32.440191303258864,31.50524117750908,32.320106506347656,18949600,0.038138740280601206,32638800
2015-09-09,32.508798469678744,32.748967955732795,31.74539652660265,31.81401824951172,14710200,-0.015782510909654185,17928600
2015-09-10,31.76256528769367,32.54311971702242,31.76256528769367,32.26006317138672,16930600,0.013923012783163788,34859200
2015-09-11,32.122825275911005,32.56027752263648,32.079938314007,32.52596664428711,12948600,0.00820871310586822,47807800
2015-09-14,32.43160874473425,32.543114164136846,32.05419571886497,32.21717071533203,15021500,-0.009539181545541214,32786300
2015-09-15,32.39730722653865,32.74898556539114,32.079939767590204,32.58601379394531,14877900,0.011383609138650415,47664200
2015-09-16,32.81760396310652,33.04062140980544,32.534547384838625,32.8261833190918,19574000,0.007343297274438612,67238200
2015-09-17,32.82618259468747,32.82618259468747,31.307960553290975,31.513822555541992,37299000,-0.0408002079949403,29939200
2015-09-18,31.12784972496657,31.719697975745774,31.102114916103304,31.205047607421875,34919800,-0.009846396849861782,-4980600
2015-09-21,31.393732768982495,31.788301312467784,31.23933709371985,31.591018676757812,14964400,0.012292997085767497,9983800
2015-09-22,31.170725031960338,31.299389211869894,30.853357532800384,31.04206085205078,19979700,-0.01752977456448067,-9995900
2015-09-23,31.042052208631013,31.06778700068688,30.733264152546557,30.87050437927246,16991600,-0.0055419093432217525,-26987500
2015-09-24,30.750417252626878,31.076364028033925,30.355851997803466,30.9305477142334,18059500,0.001943117530175902,-8928000
2015-09-25,31.050636439067794,31.153565807258442,30.801887466546912,30.921972274780273,19387000,-0.0002772866654291592,-28315000
2015-09-28,30.6389078736146,30.99916220635924,30.36442744712398,30.39873504638672,21742700,-0.01706601083185132,-50057700
2015-09-29,30.287238149935437,30.587450178412954,30.227195744239935,30.458786010742188,19785900,0.00197349424696529,-30271800
2015-09-30,30.784725370607962,31.04205037148173,30.690372106805768,30.98200798034668,16215000,0.01703215678705694,-14056800
2015-10-01,31.07638157768721,31.239353421392636,30.750434618209308,31.0849609375,18331300,0.0033174828212396085,4274500
2015-10-02,30.630334751924117,31.65963819672264,30.57029235091687,31.64248275756836,18772800,0.017776477685143035,23047300
2015-10-05,31.959841091131647,32.36298561617122,31.753982424094282,32.24290084838867,12741700,0.018797281507140284,35789000
2015-10-06,32.182871736445556,32.46592833836824,32.17429237974331,32.362998962402344,12427300,0.0037178725999993437,48216300
2015-10-07,32.38014200377762,32.577424595523745,32.03703985252764,32.30294418334961,16335700,-0.0018573856158729059,31880600
2015-10-08,32.07136409407951,32.58601753553697,32.02847712530789,32.500240325927734,13247600,0.006089106690393688,45128200
