date,open,high,low,close,volume
2015-09-01,24.75351679203276,25.142290988115928,24.126532374823586,24.207433700561523,307383600
2015-09-02,24.771495317273377,25.245664596557617,24.52429586873507,25.245664596557617,247555200
2015-09-03,25.27937262040576,25.34454322528703,24.7287957962469,24.802955627441406,212935600
2015-09-04,24.48834279546704,24.820935640339997,24.384969251005455,24.55575942993164,199985200
2015-09-08,25.113080174673804,25.29510732125327,24.79172257007705,25.23892593383789,219374400
2015-09-09,25.56478235038033,25.62320976647334,24.668126055601,24.753522872924805,340043200
2015-09-10,24.780489926424618,25.45691442888302,24.697342555848657,25.297359466552734,251571200
2015-09-11,25.122071443252118,25.66590690612793,25.11532995053779,25.66590690612793,199662000
2015-09-14,26.198505517575118,26.268169890723975,25.81197729006549,25.913103103637695,233453600
2015-09-15,26.052438455707893,26.187273470625602,25.71310232512414,26.131092071533203,173364800
2015-09-16,26.12434620347682,26.18951682125369,25.942319049544135,26.160303115844727,148694000
2015-09-17,25.991760345749377,26.17828126650722,25.555792189683,25.600736618041992,256450400
2015-09-18,25.216454166374902,25.686131464998823,25.140048301112394,25.495113372802734,297141200
2015-09-21,25.544553165129184,25.926587633449145,25.54230714405641,25.8906307220459,200888000
2015-09-22,25.479385524993692,25.65916667396787,25.286121389928482,25.4838809967041,201384800
2015-09-23,25.535563062356704,25.78051479796886,25.461404935538205,25.690624237060547,143026800
2015-09-24,25.450169376705002,25.95580188087795,25.252411503411206,25.84343910217285,200878000
2015-09-25,26.167048659990535,26.22323005837456,25.623211420597798,25.77827262878418,224607600
2015-09-28,25.585008713100212,25.746811416236124,25.268146514892578,25.268146514892578,208436000
2015-09-29,25.355786062675254,25.50859951637357,24.23889972359608,24.508569717407227,293461600
2015-09-30,24.758016023461767,25.065890676414476,24.434412363463366,24.7872314453125,265892000
2015-10-01,24.510816730568678,24.634416474225127,24.115299265387996,24.62542724609375,255716400
2015-10-02,24.272613426625988,24.946790251361485,24.169239852575654,24.805212020874023,232079200
2015-10-05,24.69284627367393,25.02768862450485,24.510819101337205,24.895099639892578,208258800
2015-10-06,24.861388664977746,25.11083417955277,24.668124541712046,25.014202117919922,192787200
2015-10-07,25.11083599235243,25.11757748547303,24.587226690584302,24.895099639892578,187062400
2015-10-08,24.762511680769144,24.762511680769144,24.31755428746931,24.607450485229492,247918400
2015-10-09,24.719813010430943,25.232187042142122,24.605202488226055,25.196231842041016,211064400
2015-10-12,25.33331724198242,25.337810999522482,25.043421016821956,25.079376220703125,121868800
2015-10-13,24.90408813790682,25.270390207708786,24.872626694587392,25.122072219848633,132197200
2015-10-14,25.009713809927018,25.061399741061333,24.620937742974128,24.767009735107422,177849600
2015-10-15,24.92880727761516,25.191735780171378,24.829927479243928,25.137802124023438,150694000
2015-10-16,25.119825812035828,25.16926571544296,24.838918828604545,24.953529357910156,156930400
2015-10-19,24.899594319671532,25.11308292946071,24.744533124749246,25.10858917236328,119036800
2015-10-20,25.020944826997862,25.65691861902344,24.904088281782034,25.567028045654297,195871200
2015-10-21,25.61871866816098,25.973785531362466,25.55130030164718,25.56478500366211,167180800
2015-10-22,25.69287441629469,25.95580291748047,25.641186781637312,25.95580291748047,166616400
2015-10-23,26.225476460478045,26.79403366057311,26.142329086955865,26.760324478149414,237467600
2015-10-26,26.535594793476033,26.546830042872955,25.825461194023617,25.906362533569336,265335200
2015-10-27,25.933329766630628,26.189516765890595,25.61646590650807,25.742313385009766,279537600
2015-10-28,26.27715967760422,26.809759869563173,26.0816478240831,26.803016662597656,342205600
2015-10-29,26.67492390801045,27.122129017289605,26.578291846377063,27.086172103881836,204909200
2015-10-30,27.189550294480668,27.24123793768806,26.8434726592581,26.85470962524414,197461200
2015-11-02,27.1468569981437,27.272702803262934,26.879432947744828,27.23225212097168,128813200
2015-11-03,27.144601646594364,27.751359996222238,27.124375453862754,27.544612884521484,182076000
2015-11-04,27.670454588408827,27.825515756659545,27.33112026401867,27.416515350341797,179544400
2015-11-05,27.500021969809346,27.68960036820362,27.123124252036362,27.290132522583008,158210800
2015-11-06,27.33301472438124,27.490995294085657,27.222428325588147,27.32172966003418,132169200
2015-11-09,27.299159572843948,27.490993601922444,27.093784844869713,27.21114158630371,135485600
2015-11-10,26.382869453829933,26.646923419181427,26.19329105588032,26.35352897644043,236511600
2015-11-11,26.26325763768348,26.500228503413954,26.001459284846973,26.204578399658203,180872000
2015-11-12,26.238425700473297,26.364810132467294,26.100756206254655,26.116554260253906,130102400
2015-11-13,25.999197498130858,26.08270248717664,25.33793310037159,25.353731155395508,183249600
2015-11-16,25.137069682949928,25.7825359821824,25.05130906457997,25.76899528503418,152426800
2015-11-17,25.936011455565502,25.96535193749753,25.574911739111574,25.658416748046875,110467600
2015-11-18,26.125584642069136,26.51602304027381,26.066905411835414,26.47088623046875,186698800
2015-11-19,26.54987771550227,27.02607848458693,26.351273332729036,26.807161331176758,173183200
2015-11-20,26.90195417568265,27.064449480562576,26.822963880771375,26.924524307250977,137148400
2015-11-23,26.917745528146632,27.021563286288874,26.482168614034364,26.5747013092041,129930000
