date,open,high,low,close,volume
2015-09-01,41.724050352200834,42.222473281899795,41.30114491335023,41.550357818603516,13136600
2015-09-02,42.01101133740287,42.19980789740097,41.54279379442663,42.1847038269043,11629100
2015-09-03,42.4565837263017,42.864382225511086,41.89019388099163,41.95060729980469,10717900
2015-09-04,41.48994635255028,41.610776080462166,40.88579771299085,40.99907684326172,11424700
2015-09-08,41.6183162313366,41.79955932476036,41.36155278164708,41.686283111572266,10938500
2015-09-09,42.17715111786453,42.20735925940695,40.900887386170496,41.0217170715332,12577200
2015-09-10,41.157670954001084,42.14696646723413,40.991528975080385,41.78447723388672,13997100
2015-09-11,41.57299886601072,41.65606980720571,41.044367960884436,41.27847671508789,10793300
2015-09-14,41.34644871079602,41.5201412089984,40.83292181141198,41.01416778564453,9720700
2015-09-15,41.39932163634411,41.66363574584852,41.05193655505041,41.43708038330078,9265000
2015-09-16,41.39176092415338,41.9354930852317,41.293585901411404,41.686283111572266,8091900
2015-09-17,41.678737688546434,42.22247283549018,41.42197418924606,41.52014923095703,9698100
2015-09-18,40.96886949609076,41.50505124418485,40.795176938854986,41.11990737915039,26572500
2015-09-21,41.25583095181038,41.33134843420316,40.78006274647546,41.0745849609375,9289600
2015-09-22,40.61391914502691,40.953753563324796,40.462884186500894,40.73474884033203,9946800
2015-09-23,40.8933367994499,40.8933367994499,40.30428956248162,40.447776794433594,7243900
2015-09-24,40.160811949626975,40.42512603050646,39.56421401757621,40.22877883911133,13502000
2015-09-25,40.74230282260378,40.780061562704105,39.9946670930657,40.191017150878906,11661900
2015-09-28,40.06263399283658,40.22877590630996,39.66238616216767,39.677490234375,11773100
2015-09-29,39.647284201856635,39.9569104965817,39.39807131837172,39.59442138671875,9789900
2015-09-30,40.017324170073344,40.636576719002335,39.94935728637103,40.5761604309082,12849700
2015-10-01,40.4779738990697,40.64411576330286,40.0248633903692,40.160797119140625,9554900
2015-10-02,40.07774286037534,41.64853198819683,40.02488004172823,41.58811569213867,13192200
2015-10-05,41.973257205560266,42.66047664410134,41.965703729079955,42.46412658691406,9933200
2015-10-06,42.290445036727974,42.68314237205169,41.85243547320262,42.5321044921875,10336500
2015-10-07,42.713343703774974,43.30993876872268,42.320646431156646,42.751102447509766,8952300
2015-10-08,42.66048159192764,43.559152383231385,42.53209840413709,43.54404830932617,8635200
2015-10-09,43.70263332969954,43.89142991746663,43.325040154165364,43.634666442871094,8883000
2015-10-12,43.52138984355989,43.86122427477288,43.400560143662744,43.64221954345703,6913400
2015-10-13,43.18909247645825,43.861210532409366,43.060712220894146,43.43075180053711,7377300
2015-10-14,43.438330904596626,44.661732314684855,43.43077742580883,44.276588439941406,12471600
2015-10-15,44.55598744304105,45.24320679515059,44.2992240103404,44.75233459472656,9055600
2015-10-16,44.91848329589936,45.31118053960615,44.48802731123768,45.24321365356445,8924900
2015-10-19,44.90338307038835,45.031766257602726,44.261475776739026,44.63151550292969,10975200
2015-10-20,44.31432894460898,44.71457673131411,44.31432894460898,44.55598831176758,9102200
2015-10-21,44.76744254661941,45.13748509790519,44.47292035315066,44.5333366394043,6915400
2015-10-22,44.926035922908675,45.79449847167525,44.926035922908675,45.63591003417969,10913600
2015-10-23,45.7869474250473,46.209849920870795,45.68122180109143,45.862464904785156,9175600
2015-10-26,45.9983978336576,45.9983978336576,44.329436786961566,44.71458053588867,13381000
2015-10-27,44.488026475807956,44.8203074231013,44.382300850796774,44.7674446105957,9485900
2015-10-28,44.80520540009972,45.53773416585661,44.72968504020246,45.515079498291016,7738300
