date,open,high,low,close,volume,log_return,ob_volume
2015-09-01,77.06999969482422,77.81999969482422,75.62999725341797,75.98999786376953,3206400,0.0,0
2015-09-02,77.0,77.33000183105469,75.54000091552734,77.25,3533800,0.01644519120815637,3533800
2015-09-03,77.5999984741211,79.55000305175781,77.36000061035156,78.31999969482422,3480100,0.013756078547875914,7013900
2015-09-04,76.98999786376953,78.2699966430664,76.38999938964844,76.88999938964844,2326500,-0.01842717321962492,4687400
2015-09-08,78.63999938964844,79.91000366210938,78.12999725341797,79.77999877929688,2670600,0.03689701007028823,7358000
2015-09-09,80.79000091552734,81.51000213623047,78.2300033569336,78.5199966430664,2460300,-0.015919504520727507,4897700
2015-09-10,78.62999725341797,78.97000122070312,78.01000213623047,78.69999694824219,3541000,0.002289789990589642,8438700
2015-09-11,78.44000244140625,79.2300033569336,77.94000244140625,79.19000244140625,2913700,0.006206942405793489,11352400
2015-09-14,79.3499984741211,79.41000366210938,78.27999877929688,78.45999908447266,2545900,-0.009261129939357873,8806500
2015-09-15,78.61000061035156,80.11000061035156,78.30000305175781,79.52999877929688,3436300,0.013545364507387634,12242800
2015-09-16,79.51000213623047,80.66999816894531,79.31999969482422,80.52999877929688,2509800,0.012495477029009034,14752600
2015-09-17,80.44999694824219,81.87999725341797,79.69999694824219,80.30999755859375,4892900,-0.002735654848497169,9859700
2015-09-18,78.54000091552734,84.94999694824219,78.16000366210938,81.25,16424000,0.011636705409255457,26283700
2015-09-21,81.41999816894531,83.69000244140625,81.41999816894531,83.31999969482422,4919700,0.025157791520228952,31203400
2015-09-22,81.9800033569336,84.83000183105469,81.7699966430664,84.66000366210938,6336500,0.01595466561936727,37539900
2015-09-23,84.91999816894531,85.98999786376953,84.05000305175781,85.5,4007700,0.00987309759327148,41547600
2015-09-24,85.06999969482422,85.37000274658203,83.36000061035156,83.91000366210938,4463700,-0.018771536417436525,37083900
2015-09-25,84.70999908447266,84.72000122070312,82.58000183105469,83.12999725341797,3736900,-0.009339225021882752,33347000
2015-09-28,82.87999725341797,83.0,80.02999877929688,80.5199966430664,3435700,-0.031900055422485786,29911300
2015-09-29,80.5199966430664,80.58000183105469,79.08999633789062,79.83000183105469,3126300,-0.008606162486277581,26785000
2015-09-30,80.87999725341797,82.37000274658203,80.37999725341797,82.22000122070312,3653800,0.029499199721890964,30438800
2015-10-01,82.41999816894531,83.7699966430664,81.56999969482422,83.75,3407800,0.01843757438865293,33846600
2015-10-02,82.20999908447266,84.01000213623047,81.29000091552734,83.98999786376953,3402600,0.002861547998016571,37249200
2015-10-05,84.80000305175781,86.30999755859375,84.48999786376953,85.83999633789062,4204800,0.02178733695721135,41454000
2015-10-06,85.5999984741211,86.0,84.83999633789062,85.1500015258789,3662900,-0.008070630631813382,37791100
2015-10-07,82.19999694824219,83.0999984741211,79.0199966430664,80.6500015258789,14474800,-0.05429560153760941,23316300
2015-10-08,80.44999694824219,82.4800033569336,80.19999694824219,82.26000213623047,4596000,0.019766165280546383,27912300
2015-10-09,82.41000366210938,83.9000015258789,81.98999786376953,83.81999969482422,3774300,0.018786650084551416,31686600
2015-10-12,83.66000366210938,84.83999633789062,83.2300033569336,83.91999816894531,2706600,0.0011923034129127984,34393200
2015-10-13,83.31999969482422,84.63999938964844,83.30999755859375,83.6500015258789,1992800,-0.003222496594928367,32400400
2015-10-14,84.0,84.7300033569336,83.4000015258789,83.80000305175781,2391200,0.001791598231131339,34791600
2015-10-15,84.19000244140625,86.86000061035156,84.08999633789062,86.7699966430664,4381900,0.034827857212481717,39173500
2015-10-16,87.16999816894531,89.04000091552734,86.18000030517578,88.66999816894531,5332100,0.021660691624022888,44505600
2015-10-19,88.1500015258789,88.48999786376953,87.02999877929688,88.4000015258789,3353900,-0.003049605837027788,41151700
2015-10-20,88.1500015258789,88.6500015258789,86.41999816894531,86.83999633789062,2694200,-0.01780468406534759,38457500
2015-10-21,87.22000122070312,87.56999969482422,85.87000274658203,86.12999725341797,2883000,-0.008209551927038136,35574500
