date,open,high,low,close,volume,log_return,ob_volume
2015-09-01,18.490374140989566,18.783640519730156,18.336410550708713,18.41705894470215,32705400,0.0,0
2015-09-02,18.761647955523085,18.812969160034807,18.38773452471173,18.80563735961914,27925300,0.02087933277349251,27925300
2015-09-03,18.974264240612825,19.172218653163995,18.864290033105924,18.988927841186523,27958400,0.00969937966253041,55883700
2015-09-04,18.637010541121455,18.805637759069775,18.585689335519614,18.7103271484375,26903500,-0.014780438752152986,28980200
2015-09-08,19.047580222307936,19.304187630366,18.996259020375895,19.28219223022461,20932900,0.030106362254057818,49913100
2015-09-09,19.428826265175424,19.597453478276538,18.97426443160076,19.01825523376465,25032300,-0.013782667936718963,24880800
2015-09-10,18.988925651349533,19.42149202960387,18.952268052540624,19.252864837646484,26424600,0.012260552726732541,51305400
2015-09-11,19.062244510948343,19.194214119767807,18.922943101816916,19.076908111572266,21529100,-0.009181268166567624,29776300
2015-09-14,19.17221341060063,19.186877007164625,18.8129636851679,18.8422908782959,18636000,-0.012374745960621828,11140300
2015-09-15,18.739653977488356,19.120899237669644,18.739653977488356,19.047582626342773,20479400,0.010836338997245095,31619700
2015-09-16,19.11355972290039,19.135555116941028,18.952264361794843,19.11355972290039,21245300,0.0034578190396813125,52865000
2015-09-17,19.032915235253856,19.26752862447174,18.92294103935665,18.974262237548828,25409600,-0.007314574541180706,27455400
2015-09-18,18.746982938565584,18.871620739421036,18.512370936578343,18.72498893737793,40020100,-0.01322450315535454,-12564700
2015-09-21,18.659004137019288,18.930273739917844,18.585687536798815,18.72498893737793,21945600,0.0,-12564700
2015-09-22,18.37306964016188,18.483043841917148,18.30708483942915,18.43172264099121,21305200,-0.015785701897888398,-33869900
2015-09-23,18.490377710672224,18.55636251878786,18.336414090667734,18.53436851501465,18804200,0.005553529444292883,-15065700
2015-09-24,18.39506105169852,18.695657790577172,18.27042327715877,18.62967300415039,35598000,0.005128866192016165,20532300
2015-09-25,18.922941258017175,19.28219104791144,18.915609458419603,19.084238052368164,37618300,0.024107129152902158,58150600
2015-09-28,18.937603178380314,19.076904561589426,18.761644198830858,18.812965393066406,27211200,-0.01431648079522373,30939400
