date,open,high,low,close,volume,log_return,ob_volume
2015-09-01,86.31787240141111,88.84231084445018,85.97001835235346,86.69554901123047,36097400,0.0,0
2015-09-02,88.26586393378685,89.33924865722656,87.09309342098781,89.33924865722656,27190500,0.030038361311527022,27190500
2015-09-03,89.21005301029389,89.2696829708025,87.19249179815118,87.60991668701172,27048200,-0.01954671023791487,142300
2015-09-04,86.66573522062457,87.84844668975485,86.16879864806904,87.71924591064453,27328700,0.0012471312379903662,27471000
2015-09-08,89.1404686265166,89.68709420748846,88.28573727029982,88.9814453125,27012500,0.014286541399551418,54483500
2015-09-09,90.2237927080958,91.41644489709488,89.61752955145074,89.88587951660156,32551100,0.01011299199772314,87034600
2015-09-10,89.51814178076617,91.49594694914543,89.08083522955997,91.41644287109375,26437400,0.016884502041262243,113472000
2015-09-11,91.11828716819934,91.51583792934058,90.57165392379886,91.48602294921875,21185000,0.0007608435585545751,134657000
2015-09-14,91.74442291259766,92.05252872804677,91.03877392553025,91.74442291259766,20127900,0.0028204934334475616,154784900
2015-09-15,91.80405902827893,92.67866460796205,91.22761082267762,92.330810546875,18859400,0.00637119515554221,173644300
2015-09-16,92.33080814725366,93.02651625134673,92.06245817663945,92.87743377685547,16321200,0.005902813010843718,189965500
2015-09-17,92.7979276783116,94.92481535905011,92.33080614029575,93.76197814941406,27841800,0.009478716056322823,217807300
2015-09-18,92.6289649208166,94.60677774328796,92.47989002992895,93.82161712646484,62300000,0.0006358656147147382,280107300
2015-09-21,94.04028199991939,95.89881997343616,93.94088861687848,94.96458435058594,28790000,0.012108736554280505,308897300
2015-09-22,93.19546897823061,94.09989705862195,91.35680542296775,92.39043426513672,36888900,-0.027480577765655233,272008400
2015-09-23,92.82774164394571,93.74210300309512,92.23141934809391,93.39424896240234,21701400,0.010806321041230933,293709800
2015-09-24,92.48982354481498,94.18934554926258,91.67484794766496,93.83155822753906,29106000,0.004671472025898561,322815800
