Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
Effects of erbium modification on the microstructure and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.9213,0,0,0,0,0,0,0,0.002,0,0.0012,0,0,0.0045,0,0,0,0.071,0,0,0,0,0
Effects of erbium modification on the microstructure and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.9203,0,0,0,0,0,0,0,0.003,0,0.0012,0,0,0.0045,0,0,0,0.071,0,0,0,0,0
Effects of erbium modification on the microstructure and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.9193,0,0,0,0,0,0,0,0.004,0,0.0012,0,0,0.0045,0,0,0,0.071,0,0,0,0,0
Effect of Eu addition on the microstructures and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.9003,0,0,0,0,0,0,0,0,0,0.0017,0,0,0.029,0,0,0,0.069,0,0,0,0,0
Effect of Eu addition on the microstructures and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.89861,0,0,0,0,0,0,0,0,0.00079,0.0016,0,0,0.03,0,0,0,0.069,0,0,0,0,0
Effect of Eu addition on the microstructures and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.89792,0,0,0,0,0,0,0,0,0.00028,0.0018,0,0,0.028,0,0,0,0.072,0,0,0,0,0
Effect of Eu addition on the microstructures and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.89745,0,0,0,0,0,0,0,0,0.00095,0.0016,0,0,0.029,0,0,0,0.071,0,0,0,0,0
Effect of Eu addition on the microstructures and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.89571,0,0,0,0,0,0,0,0,0.00069,0.0016,0,0,0.028,0,0,0,0.074,0,0,0,0,0
Effect of Eu addition on the microstructures and mechanical properties of A356 aluminum alloys,A356,As-cast,as cast,1,0,0.89408,0,0,0,0,0,0,0,0,0.00012,0.0018,0,0,0.031,0,0,0,0.073,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.9985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.9945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0
