;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre;regjering
2023-03;17,1;32,5;12,1;9,1;6,1;3,8;4,8;3,4;6,1;4,9;Ap/Sp
2023-02;18,5;31,7;12,7;8,6;5,7;3,6;4,4;3,4;6,7;4,8;Ap/Sp
2023-01;19,1;30,9;12,9;8,6;6,1;3,2;4,3;3,6;6,3;5,0;Ap/Sp
2022-12;17,8;32,4;12,0;9,3;5,4;3,2;4,7;3,7;7,1;4,4;Ap/Sp
2022-11;18,1;30,9;13,4;8,5;5,2;3,6;4,5;3,8;6,7;5,1;Ap/Sp
2022-10;19,6;29,2;13,5;9,1;6,0;3,5;4,2;3,8;6,6;4,6;Ap/Sp
2022-09;20,0;28,8;14,0;8,1;5,9;3,5;4,7;3,5;7,5;4,2;Ap/Sp
2022-08;20,6;28,7;13,8;8,6;6,4;3,7;4,3;3,6;6,7;3,9;Ap/Sp
2022-07;21,3;29,2;13,6;9,2;6,2;3,2;4,2;3,3;6,2;4,0;Ap/Sp
2022-06;21,5;27,1;14,3;9,1;7,2;3,2;4,5;3,5;6,0;3,7;Ap/Sp
2022-05;22,7;27,3;12,9;8,1;7,1;3,7;4,8;3,4;6,3;3,7;Ap/Sp
2022-04;23,6;27,5;12,5;8,0;7,3;3,3;4,8;3,4;6,1;3,5;Ap/Sp
2022-03;22,8;26,6;11,5;7,8;8,3;3,5;4,6;3,7;7,6;3,8;Ap/Sp
2022-02;21,9;25,5;11,5;9,2;8,3;3,2;4,4;3,1;9,1;3,7;Ap/Sp
2022-01;21,9;25,3;11,9;9,2;9,7;3,3;4,3;4,0;6,9;3,5;Ap/Sp
2021-12;23,0;24,2;11,7;9,5;10,9;3,2;5,0;3,4;5,9;3,4;Ap/Sp
2021-11;26,1;21,3;11,2;8,8;12,7;3,2;4,7;3,9;5,4;2,9;Ap/Sp
2021-10;26,6;20,7;11,1;8,7;13,3;3,5;4,6;3,7;4,9;3,0;H/V/KrF
2021-09;24,4;19,4;11,3;9,2;12,9;4,0;4,7;4,9;5,4;3,8;H/V/KrF
2021-08;24,0;20,1;10,3;8,8;14,1;3,6;4,1;5,5;5,2;4,4;H/V/KrF
2021-07;24,3;20,0;9,9;7,7;17,6;3,2;3,5;4,5;5,6;3,9;H/V/KrF
